"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","03-Jan-2020","        734.70","        733.90","        748.00","        733.90","        745.00","        746.00","        744.67","    7882938","          5870173302.35","     105632","    3682521","         46.72"
"INFY","EQ","06-Jan-2020","        746.00","        746.10","        753.80","        736.50","        738.50","        738.85","        743.51","    6519403","          4847236982.15","     129992","    2871332","         44.04"
"INFY","EQ","07-Jan-2020","        738.85","        738.00","        742.60","        725.10","        729.30","        727.90","        734.63","    7899363","          5803119824.55","     189680","    3976564","         50.34"
"INFY","EQ","08-Jan-2020","        727.90","        724.95","        729.00","        708.30","        718.90","        718.20","        717.84","    8639443","          6201707522.40","     232857","    3579984","         41.44"
"INFY","EQ","09-Jan-2020","        718.20","        721.70","        731.50","        714.30","        727.60","        727.55","        724.60","   13521186","          9797455291.55","     161064","    7560512","         55.92"
"INFY","EQ","10-Jan-2020","        727.55","        740.45","        742.90","        730.50","        740.00","        738.15","        737.69","    9341405","          6891078451.30","     145267","    2641897","         28.28"
"INFY","EQ","13-Jan-2020","        738.15","        760.00","        777.50","        755.00","        772.50","        773.55","        769.14","   36952038","         28421129304.65","     753340","   12985958","         35.14"
"INFY","EQ","14-Jan-2020","        773.55","        769.95","        776.95","        767.20","        775.50","        775.65","        772.12","   11414418","          8813264899.15","     289583","    5736351","         50.26"
"INFY","EQ","15-Jan-2020","        775.65","        773.85","        773.85","        762.15","        766.30","        767.55","        766.99","    6047430","          4638298219.05","      96319","    2874200","         47.53"
"INFY","EQ","16-Jan-2020","        767.55","        770.70","        772.50","        760.25","        767.20","        767.00","        766.35","    5740586","          4399309408.85","      93520","    2546218","         44.35"
"INFY","EQ","17-Jan-2020","        767.00","        770.70","        772.90","        762.25","        767.45","        767.85","        766.35","    3762957","          2883743849.90","      98313","    1716214","         45.61"
"INFY","EQ","20-Jan-2020","        767.85","        771.60","        774.40","        762.95","        768.85","        768.45","        767.06","    3887680","          2982074923.85","      81096","    1987288","         51.12"
"INFY","EQ","21-Jan-2020","        768.45","        768.45","        770.50","        760.75","        761.15","        762.50","        764.09","    4448374","          3398977857.25","      83703","    2831904","         63.66"
"INFY","EQ","22-Jan-2020","        762.50","        768.45","        778.00","        766.00","        769.80","        770.20","        771.58","    9733935","          7510499147.55","     148501","    5309541","         54.55"
"INFY","EQ","23-Jan-2020","        770.20","        777.10","        785.50","        776.70","        782.35","        784.35","        781.01","   12528017","          9784566374.55","     197205","    8696219","         69.41"
"INFY","EQ","24-Jan-2020","        784.35","        775.75","        786.50","        773.60","        783.00","        782.75","        779.20","    7540490","          5875559436.25","     131263","    3499303","         46.41"
"INFY","EQ","27-Jan-2020","        782.75","        779.05","        784.80","        774.40","        778.05","        778.10","        778.05","    3741610","          2911159552.35","     102550","    2126199","         56.83"
"INFY","EQ","28-Jan-2020","        778.10","        781.00","        781.80","        772.00","        778.00","        778.00","        775.99","    5121009","          3973833551.80","     108248","    3281703","         64.08"
"INFY","EQ","29-Jan-2020","        778.00","        786.60","        792.80","        784.25","        790.00","        789.70","        787.87","    6832757","          5383335132.00","      83287","    3600795","         52.70"
"INFY","EQ","30-Jan-2020","        789.70","        789.70","        789.70","        778.00","        780.60","        780.70","        781.35","    3859680","          3015775801.15","      98962","    2022411","         52.40"
"INFY","EQ","31-Jan-2020","        780.70","        780.55","        784.95","        771.60","        777.70","        775.95","        776.84","    6092028","          4732547586.75","      72176","    4123484","         67.69"
"INFY","EQ","01-Feb-2020","        775.95","        775.10","        791.25","        769.25","        777.00","        779.50","        779.56","    5104062","          3978923966.60","     105374","    2846062","         55.76"
"INFY","EQ","03-Feb-2020","        779.50","        782.00","        790.95","        764.50","        767.10","        767.40","        771.38","    6416745","          4949738299.40","     132708","    3721975","         58.00"
"INFY","EQ","04-Feb-2020","        767.40","        770.10","        789.90","        770.10","        788.10","        787.85","        781.11","    5771311","          4508019532.10","     126688","    3493877","         60.54"
"INFY","EQ","05-Feb-2020","        787.85","        781.00","        786.00","        774.40","        784.50","        784.55","        779.33","    6310409","          4917872804.05","     142904","    3754373","         59.49"
"INFY","EQ","06-Feb-2020","        784.55","        784.35","        786.80","        770.00","        772.00","        771.35","        775.78","    7341622","          5695512989.35","     133662","    4417336","         60.17"
"INFY","EQ","07-Feb-2020","        771.35","        775.95","        778.85","        771.00","        776.00","        777.30","        775.80","    2853344","          2213620887.90","      53815","    1395947","         48.92"
"INFY","EQ","10-Feb-2020","        777.30","        774.00","        778.00","        769.75","        773.00","        773.20","        772.86","    3827682","          2958264287.05","      50917","    2548802","         66.59"
"INFY","EQ","11-Feb-2020","        773.20","        779.00","        779.10","        769.20","        775.00","        773.55","        773.48","    4312817","          3335859222.95","      83764","    2771644","         64.27"
"INFY","EQ","12-Feb-2020","        773.55","        775.80","        783.25","        775.10","        780.80","        781.05","        780.73","    2948825","          2302228797.45","      80507","    1455179","         49.35"
"INFY","EQ","13-Feb-2020","        781.05","        785.00","        794.00","        782.20","        792.50","        792.25","        787.51","    4387430","          3455129906.00","      80876","    2182796","         49.75"
"INFY","EQ","14-Feb-2020","        792.25","        794.50","        799.20","        784.60","        786.30","        786.45","        791.78","    5321680","          4213573742.60","     103460","    2627167","         49.37"
"INFY","EQ","17-Feb-2020","        786.45","        790.30","        793.45","        783.30","        788.85","        789.45","        789.21","    2929629","          2312085827.25","      69780","    1441936","         49.22"
"INFY","EQ","18-Feb-2020","        789.45","        785.00","        799.05","        783.65","        798.50","        797.65","        793.27","    5083346","          4032462343.75","     103674","    2672902","         52.58"
"INFY","EQ","19-Feb-2020","        797.65","        800.00","        804.85","        796.15","        800.40","        800.45","        799.62","    3985192","          3186637946.20","      79345","    1993471","         50.02"
"INFY","EQ","20-Feb-2020","        800.45","        803.25","        806.10","        793.85","        796.80","        797.00","        800.74","    4564569","          3655039598.50","      94252","    2324240","         50.92"
"INFY","EQ","24-Feb-2020","        797.00","        800.10","        811.60","        792.15","        795.90","        795.85","        804.05","    6627536","          5328879149.90","     130286","    3283926","         49.55"
"INFY","EQ","25-Feb-2020","        795.85","        799.00","        806.00","        795.40","        799.50","        798.40","        799.93","    6996695","          5596900401.25","     114637","    4262139","         60.92"
"INFY","EQ","26-Feb-2020","        798.40","        793.95","        801.45","        780.50","        782.25","        782.75","        791.65","    8760569","          6935314353.15","     168481","    5489084","         62.66"
"INFY","EQ","27-Feb-2020","        782.75","        778.00","        780.75","        772.20","        776.55","        777.85","        777.16","    5223386","          4059425154.50","     100716","    2619919","         50.16"
"INFY","EQ","28-Feb-2020","        777.85","        750.00","        756.80","        722.05","        732.00","        731.70","        738.68","   14123957","         10433101671.40","     277778","    7459667","         52.82"
"INFY","EQ","02-Mar-2020","        731.70","        737.00","        765.90","        733.75","        739.40","        741.05","        750.99","    9821523","          7375861532.00","     155968","    4844883","         49.33"
"INFY","EQ","03-Mar-2020","        741.05","        755.00","        759.00","        741.25","        751.00","        747.00","        749.09","    7826587","          5862836380.75","     136066","    4215088","         53.86"
"INFY","EQ","04-Mar-2020","        747.00","        753.90","        761.50","        745.55","        758.00","        758.75","        753.23","   11013444","          8295623046.90","     155822","    6465657","         58.71"
